method,offered_demand_gbps,served_throughput_gbps,served_ratio,unmet_demand_gbps,unmet_fraction,connected_flows,avg_hops,matched_satellite_pairs,case,config,selection,offset_minutes,snapshot_utc,evaluation_seconds,candidate_inter_shell_pairs,selected_inter_shell_pairs
DRL,353.84321000000006,39.926269494687645,0.11283604818837031,313.9169405053124,0.8871639518116298,108,17.781094527363184,960,mixed-s1-t090,mixed,1,90,2025-07-16T17:30:00,4.573154512909241,10094,361
DuJo,353.84321000000006,129.8997266872217,0.3671109774502149,223.94348331277837,0.6328890225497851,337,16.25052192066806,963,mixed-s1-t090,mixed,1,90,2025-07-16T17:30:00,231.97248461295385,10094,375
MRate,353.84321000000006,130.42700208347495,0.36860111596736567,223.4162079165251,0.6313988840326343,334,7.951951951951952,967,mixed-s1-t090,mixed,1,90,2025-07-16T17:30:00,4.694893090985715,10094,414
SaTE,353.84321000000006,130.42700208347495,0.36860111596736567,223.4162079165251,0.6313988840326343,334,7.951951951951952,967,mixed-s1-t090,mixed,1,90,2025-07-16T17:30:00,4.332973878015764,10094,414
+Grid,350.71361,82.93380059168379,0.2364715774551315,267.7798094083162,0.7635284225448685,233,17.556410256410256,968,mixed-s1-t120,mixed,1,120,2025-07-16T18:00:00,4.076719910954125,10094,31
DRL,350.71361,37.43860855825395,0.1067498023765144,313.2750014417461,0.8932501976234857,99,14.972727272727273,965,mixed-s1-t120,mixed,1,120,2025-07-16T18:00:00,4.106394683942199,10094,352
DuJo,350.71361,136.71850302513553,0.3898294766066693,213.99510697486448,0.6101705233933308,357,15.772815533980582,965,mixed-s1-t120,mixed,1,120,2025-07-16T18:00:00,252.33026902994607,10094,329
MRate,350.71361,120.50128144661818,0.3435888371900314,230.21232855338184,0.6564111628099686,307,5.649717514124294,964,mixed-s1-t120,mixed,1,120,2025-07-16T18:00:00,4.182667396962643,10094,390
SaTE,350.71361,120.50128144661818,0.3435888371900314,230.21232855338184,0.6564111628099686,307,5.649717514124294,964,mixed-s1-t120,mixed,1,120,2025-07-16T18:00:00,4.2149482070235536,10094,390
+Grid,374.91169,86.73926356390996,0.23135918638309186,288.17242643609006,0.7686408136169082,235,12.736231884057972,966,mixed-s1-t180,mixed,1,180,2025-07-16T19:00:00,3.4267298750346527,10203,41
DRL,374.91169,32.57823527338323,0.08689575743392591,342.33345472661676,0.913104242566074,89,14.427672955974844,957,mixed-s1-t180,mixed,1,180,2025-07-16T19:00:00,3.391938837012276,10203,339
DuJo,374.91169,126.37456395374346,0.3370782168828704,248.53712604625656,0.6629217831171297,327,11.516194331983806,958,mixed-s1-t180,mixed,1,180,2025-07-16T19:00:00,244.53412591991946,10203,371
MRate,374.91169,123.7731388674928,0.3301394492860247,251.13855113250722,0.6698605507139753,321,23.67391304347826,970,mixed-s1-t180,mixed,1,180,2025-07-16T19:00:00,3.361011089058593,10203,401
